Variable no,Variable Description
covid3yp_1057,A1_6: Sneezing in Sept: COVID3
covid3yp_1058,A1_6: Sneezing in Oct: COVID3
covid3yp_1060,A1_7: Ever had blocked nose since March: COVID3
covid3yp_1061,A1_7: Blocked nose in March: COVID3
covid3yp_1062,A1_7: Blocked nose in April: COVID3
covid3yp_1063,A1_7: Blocked nose in May: COVID3
covid3yp_1064,A1_7: Blocked nose in June: COVID3
covid3yp_1065,A1_7: Blocked nose in July: COVID3
covid3yp_1066,A1_7: Blocked nose in August: COVID3
covid3yp_1067,A1_7: Blocked nose in Sept: COVID3
covid3yp_1068,A1_7: Blocked nose in Oct: COVID3
covid3yp_1070,A1_8: Ever had sore eyes since March: COVID3
covid3yp_1071,A1_8: Sore eyes in March: COVID3
covid3yp_1072,A1_8: Sore eyes in April: COVID3
covid3yp_1073,A1_8: Sore eyes in May: COVID3
covid3yp_1074,A1_8: Sore eyes in June: COVID3
covid3yp_1075,A1_8: Sore eyes in July: COVID3
covid3yp_1076,A1_8: Sore eyes in August: COVID3
covid3yp_1077,A1_8: Sore eyes in Sept: COVID3
covid3yp_1078,A1_8: Sore eyes in Oct: COVID3
covid3yp_1080,A1_9: Ever had loss of smell/taste since March: COVID3
covid3yp_1081,A1_9: Loss of smell/taste in March: COVID3
covid3yp_1082,A1_9: Loss of smell/taste in April: COVID3
covid3yp_1083,A1_9: Loss of smell/taste in May: COVID3
covid3yp_1084,A1_9: Loss of smell/taste in June: COVID3
covid3yp_1085,A1_9: Loss of smell/taste in July: COVID3
covid3yp_1086,A1_9: Loss of smell/taste in August: COVID3
covid3yp_1087,A1_9: Loss of smell/taste in Sept: COVID3
covid3yp_1088,A1_9: Loss of smell/taste in Oct: COVID3
covid3yp_1090,A1_10: Ever had sore throat since March: COVID3
covid3yp_1091,A1_10: Sore throat in March: COVID3
covid3yp_1092,A1_10: Sore throat in April: COVID3
covid3yp_1093,A1_10: Sore throat in May: COVID3
covid3yp_1094,A1_10: Sore throat in June: COVID3
covid3yp_1095,A1_10: Sore throat in July: COVID3
covid3yp_1096,A1_10: Sore throat in August: COVID3
covid3yp_1097,A1_10: Sore throat in Sept: COVID3
covid3yp_1098,A1_10: Sore throat in Oct: COVID3
covid3yp_1100,A1_11: Ever had hoarse voice since March: COVID3
covid3yp_1101,A1_11: Hoarse voice in March: COVID3
covid3yp_1102,A1_11: Hoarse voice in April: COVID3
covid3yp_1103,A1_11: Hoarse voice in May: COVID3
covid3yp_1104,A1_11: Hoarse voice in June: COVID3
covid3yp_1105,A1_11: Hoarse voice in July: COVID3
covid3yp_1106,A1_11: Hoarse voice in August: COVID3
covid3yp_1107,A1_11: Hoarse voice in Sept: COVID3
covid3yp_1108,A1_11: Hoarse voice in Oct: COVID3
covid3yp_1110,A1_12: Ever had headache (more often/worse than usual) since March: COVID3
covid3yp_1111,A1_12: Headache (more often/worse than usual) in March: COVID3
covid3yp_1112,A1_12: Headache (more often/worse than usual) in April: COVID3
covid3yp_1113,A1_12: Headache (more often/worse than usual) in May: COVID3
covid3yp_1114,A1_12: Headache (more often/worse than usual) in June: COVID3
covid3yp_1115,A1_12: Headache (more often/worse than usual) in July: COVID3
covid3yp_1116,A1_12: Headache (more often/worse than usual) in August: COVID3
covid3yp_1117,A1_12: Headache (more often/worse than usual) in Sept: COVID3
covid3yp_1118,A1_12: Headache (more often/worse than usual) in Oct: COVID3
covid3yp_1120,A1_13: Ever had dizziness since March: COVID3
covid3yp_1121,A1_13: Dizziness in March: COVID3
covid3yp_1122,A1_13: Dizziness in April: COVID3
covid3yp_1123,A1_13: Dizziness in May: COVID3
covid3yp_1124,A1_13: Dizziness in June: COVID3
covid3yp_1125,A1_13: Dizziness in July: COVID3
covid3yp_1126,A1_13: Dizziness in August: COVID3
covid3yp_1127,A1_13: Dizziness in Sept: COVID3
covid3yp_1128,A1_13: Dizziness in Oct: COVID3
covid3yp_1130,A1_14: Ever had new persistent cough since March: COVID3
covid3yp_1131,A1_14: New persistent cough in March: COVID3
covid3yp_1132,A1_14: New persistent cough in April: COVID3
covid3yp_1133,A1_14: New persistent cough in May: COVID3
covid3yp_1134,A1_14: New persistent cough in June: COVID3
covid3yp_1135,A1_14: New persistent cough in July: COVID3
covid3yp_1136,A1_14: New persistent cough in August: COVID3
covid3yp_1137,A1_14: New persistent cough in Sept: COVID3
covid3yp_1138,A1_14: New persistent cough in Oct: COVID3
covid3yp_1140,A1_15: Ever had tightness in chest since March: COVID3
covid3yp_1141,A1_15: Tightness in chest in March: COVID3
covid3yp_1142,A1_15: Tightness in chest in April: COVID3
covid3yp_1143,A1_15: Tightness in chest in May: COVID3
covid3yp_1144,A1_15: Tightness in chest in June: COVID3
covid3yp_1145,A1_15: Tightness in chest in July: COVID3
covid3yp_1146,A1_15: Tightness in chest in August: COVID3
covid3yp_1147,A1_15: Tightness in chest in Sept: COVID3
covid3yp_1148,A1_15: Tightness in chest in Oct: COVID3
covid3yp_1150,A1_16: Ever had chest pain since March: COVID3
covid3yp_1151,A1_16: Chest pain in March: COVID3
covid3yp_1152,A1_16: Chest pain in April: COVID3
covid3yp_1153,A1_16: Chest pain in May: COVID3
covid3yp_1154,A1_16: Chest pain in June: COVID3
covid3yp_1155,A1_16: Chest pain in July: COVID3
covid3yp_1156,A1_16: Chest pain in August: COVID3
covid3yp_1157,A1_16: Chest pain in Sept: COVID3
covid3yp_1158,A1_16: Chest pain in Oct: COVID3
covid3yp_1160,A1_17: Ever had fever since March: COVID3
covid3yp_1161,A1_17: Fever in March: COVID3
covid3yp_1162,A1_17: Fever in April: COVID3
covid3yp_1163,A1_17: Fever in May: COVID3
covid3yp_1164,A1_17: Fever in June: COVID3
covid3yp_1165,A1_17: Fever in July: COVID3
covid3yp_1166,A1_17: Fever in August: COVID3
covid3yp_1167,A1_17: Fever in Sept: COVID3
covid3yp_1168,A1_17: Fever in Oct: COVID3
covid3yp_1170,A1_18: Ever had chills since March: COVID3
covid3yp_1171,A1_18: Chills in March: COVID3
covid3yp_1172,A1_18: Chills in April: COVID3
covid3yp_1173,A1_18: Chills in May: COVID3
covid3yp_1174,A1_18: Chills in June: COVID3
covid3yp_1175,A1_18: Chills in July: COVID3
covid3yp_1176,A1_18: Chills in August: COVID3
covid3yp_1177,A1_18: Chills in Sept: COVID3
covid3yp_1178,A1_18: Chills in Oct: COVID3
covid3yp_1180,A1_19: Ever had difficulty sleeping since March: COVID3
covid3yp_1181,A1_19: Difficulty sleeping in March: COVID3
covid3yp_1182,A1_19: Difficulty sleeping in April: COVID3
covid3yp_1183,A1_19: Difficulty sleeping in May: COVID3
covid3yp_1184,A1_19: Difficulty sleeping in June: COVID3
covid3yp_1185,A1_19: Difficulty sleeping in July: COVID3
covid3yp_1186,A1_19: Difficulty sleeping in August: COVID3
covid3yp_1187,A1_19: Difficulty sleeping in Sept: COVID3
covid3yp_1188,A1_19: Difficulty sleeping in Oct: COVID3
covid3yp_1190,A1_20: Ever felt more tired than usual since March: COVID3
covid3yp_1191,A1_20: Felt more tired than usual in March: COVID3
covid3yp_1192,A1_20: Felt more tired than usual in April: COVID3
covid3yp_1193,A1_20: Felt more tired than usual in May: COVID3
covid3yp_1194,A1_20: Felt more tired than usual in June: COVID3
covid3yp_1195,A1_20: Felt more tired than usual in July: COVID3
covid3yp_1196,A1_20: Felt more tired than usual in August: COVID3
covid3yp_1197,A1_20: Felt more tired than usual in Sept: COVID3
covid3yp_1198,A1_20: Felt more tired than usual in Oct: COVID3
covid3yp_1200,A1_21: Ever had severe fatigue since March: COVID3
covid3yp_1201,A1_21: Severe fatigue in March: COVID3
covid3yp_1202,A1_21: Severe fatigue in April: COVID3
covid3yp_1203,A1_21: Severe fatigue in May: COVID3
covid3yp_1204,A1_21: Severe fatigue in June: COVID3
covid3yp_1205,A1_21: Severe fatigue in July: COVID3
covid3yp_1206,A1_21: Severe fatigue in August: COVID3
covid3yp_1207,A1_21: Severe fatigue in Sept: COVID3
covid3yp_1208,A1_21: Severe fatigue in Oct: COVID3
covid3yp_1210,A1_22: Ever had numbness/tingling since March: COVID3
covid3yp_1211,A1_22: Numbness/tingling in March: COVID3
covid3yp_1212,A1_22: Numbness/tingling in April: COVID3
covid3yp_1213,A1_22: Numbness/tingling in May: COVID3
covid3yp_1214,A1_22: Numbness/tingling in June: COVID3
covid3yp_1215,A1_22: Numbness/tingling in July: COVID3
covid3yp_1216,A1_22: Numbness/tingling in August: COVID3
covid3yp_1217,A1_22: Numbness/tingling in Sept: COVID3
covid3yp_1218,A1_22: Numbness/tingling in Oct: COVID3
covid3yp_1220,A1_23: Ever had heaviness in arms/legs since March: COVID3
covid3yp_1221,A1_23: Heaviness in arms/legs in March: COVID3
covid3yp_1222,A1_23: Heaviness in arms/legs in April: COVID3
covid3yp_1223,A1_23: Heaviness in arms/legs in May: COVID3
covid3yp_1224,A1_23: Heaviness in arms/legs in June: COVID3
covid3yp_1225,A1_23: Heaviness in arms/legs in July: COVID3
covid3yp_1226,A1_23: Heaviness in arms/legs in August: COVID3
covid3yp_1227,A1_23: Heaviness in arms/legs in Sept: COVID3
covid3yp_1228,A1_23: Heaviness in arms/legs in Oct: COVID3
covid3yp_1230,A1_24: Ever had achy muscles since March: COVID3
covid3yp_1231,A1_24: Achy muscles in March: COVID3
covid3yp_1232,A1_24: Achy muscles in April: COVID3
covid3yp_1233,A1_24: Achy muscles in May: COVID3
covid3yp_1234,A1_24: Achy muscles in June: COVID3
covid3yp_1235,A1_24: Achy muscles in July: COVID3
covid3yp_1236,A1_24: Achy muscles in August: COVID3
covid3yp_1237,A1_24: Achy muscles in Sept: COVID3
covid3yp_1238,A1_24: Achy muscles in Oct: COVID3
covid3yp_1240,A1_25: Ever had shortness of breath since March: COVID3
covid3yp_1241,A1_25: Shortness of breath in March: COVID3
covid3yp_1242,A1_25: Shortness of breath in April: COVID3
covid3yp_1243,A1_25: Shortness of breath in May: COVID3
covid3yp_1244,A1_25: Shortness of breath in June: COVID3
covid3yp_1245,A1_25: Shortness of breath in July: COVID3
covid3yp_1246,A1_25: Shortness of breath in August: COVID3
covid3yp_1247,A1_25: Shortness of breath in Sept: COVID3
covid3yp_1248,A1_25: Shortness of breath in Oct: COVID3
covid3yp_1250,A1_26: Ever had raised/red/itchy areas on skin since March: COVID3
covid3yp_1251,A1_26: Raised/red/itchy areas on skin in March: COVID3
covid3yp_1252,A1_26: Raised/red/itchy areas on skin in April: COVID3
covid3yp_1253,A1_26: Raised/red/itchy areas on skin in May: COVID3
covid3yp_1254,A1_26: Raised/red/itchy areas on skin in June: COVID3
covid3yp_1255,A1_26: Raised/red/itchy areas on skin in July: COVID3
covid3yp_1256,A1_26: Raised/red/itchy areas on skin in August: COVID3
covid3yp_1257,A1_26: Raised/red/itchy areas on skin in Sept: COVID3
covid3yp_1258,A1_26: Raised/red/itchy areas on skin in Oct: COVID3
covid3yp_1260,A1_27: Ever had sudden swelling of face/lips since March: COVID3
covid3yp_1261,A1_27: Sudden swelling of face/lips in March: COVID3
covid3yp_1262,A1_27: Sudden swelling of face/lips in April: COVID3
covid3yp_1263,A1_27: Sudden swelling of face/lips in May: COVID3
covid3yp_1264,A1_27: Sudden swelling of face/lips in June: COVID3
covid3yp_1265,A1_27: Sudden swelling of face/lips in July: COVID3
covid3yp_1266,A1_27: Sudden swelling of face/lips in August: COVID3
covid3yp_1267,A1_27: Sudden swelling of face/lips in Sept: COVID3
covid3yp_1268,A1_27: Sudden swelling of face/lips in Oct: COVID3
covid3yp_1270,A1_28: Ever had red/purple sores/blisters on feet since March: COVID3
covid3yp_1271,A1_28: Red/purple sores/blisters on feet in March: COVID3
covid3yp_1272,A1_28: Red/purple sores/blisters on feet in April: COVID3
covid3yp_1273,A1_28: Red/purple sores/blisters on feet in May: COVID3
covid3yp_1274,A1_28: Red/purple sores/blisters on feet in June: COVID3
covid3yp_1275,A1_28: Red/purple sores/blisters on feet in July: COVID3
covid3yp_1276,A1_28: Red/purple sores/blisters on feet in August: COVID3
covid3yp_1277,A1_28: Red/purple sores/blisters on feet in Sept: COVID3
covid3yp_1278,A1_28: Red/purple sores/blisters on feet in Oct: COVID3
covid3yp_1280,DV: Predicted COVID case; based on Menni algorithm (March): COVID3
covid3yp_1281,DV: Predicted COVID case; based on Menni algorithm (April): COVID3
covid3yp_1282,DV: Predicted COVID case; based on Menni algorithm (May): COVID3
covid3yp_1283,DV: Predicted COVID case; based on Menni algorithm (June): COVID3
covid3yp_1284,DV: Predicted COVID case; based on Menni algorithm (July): COVID3
covid3yp_1285,DV: Predicted COVID case; based on Menni algorithm (August): COVID3
covid3yp_1286,DV: Predicted COVID case; based on Menni algorithm (Sept): COVID3
covid3yp_1287,DV: Predicted COVID case; based on Menni algorithm (Oct): COVID3
covid3yp_1300,A2: Before taking antibody test; thought have or had COVID-19: COVID3
covid3yp_1400,A3a: Ever had a COVID-19 test: COVID3
covid3yp_1401,A3a: Had a COVID-19 test because had symptoms: COVID3
covid3yp_1402,A3a: Had COVID-19 test as in contact with someone with COVID-19: COVID3
covid3yp_1403,A3a: Had a COVID-19 test because of job: COVID3
covid3yp_1404,A3a: Had a COVID-19 test for another reason: COVID3
covid3yp_1410,A3b: Type of COVID-19 test: Swab test: COVID3
covid3yp_1411,A3b: Type of COVID-19 test: Antibody test: COVID3
covid3yp_1412,A3b: Type of COVID-19 test: Other test: COVID3
covid3yp_1413,A3b: Type of COVID-19 test: Don't know: COVID3
covid3yp_1500,A4a: Had a positive result from a swab test: COVID3
covid3yp_1520,A4b: Had a positive result from an antibody test: COVID3
covid3yp_1550,DV: Any positive COVID-19 test: COVID3
covid3yp_1600,A5: Attempted ALSPAC antibody test: COVID3
covid3yp_1801,A7_day: Date attempted ALSPAC antibody test: Day: COVID3
covid3yp_1802,A7_mth: Date attempted ALSPAC antibody test: Month: COVID3
covid3yp_1803,A7_yr: Date attempted ALSPAC antibody test: Year: COVID3
covid3yp_1900,A8: Successfully completed the ALSPAC antibody test: COVID3
covid3yp_2100,A10: ALSPAC antibody test result (by participant): COVID3
covid3yp_2105,A10: ALSPAC antibody test result (ALSPAC validated): COVID3
covid3yp_2200,A11: Participant's confidence that chose correct test result option: COVID3
covid3yp_9620,Date participant completed questionnaire: Day: COVID3
covid3yp_9621,Date participant completed questionnaire: Month: COVID3
covid3yp_9622,Date participant completed questionnaire: Year: COVID3
covid3yp_9650,DV: Age in years on date Q completed: COVID3
covid3yp_9651,DV: Age in months on date Q completed: COVID3
a0014,Social Class of Father in 1970
a0018,Mothers Social Class in 1970
e189a,Mothers Highest Educ Qualification
e189b,Fathers Highest Educ Qualification
c3_4,PI -Father's corrected social class 1980
c3_5,PI -Father's corrected social class 1970
ethnic,CMs ethnic group
b9gender,Whether CM undergone gender reassignment
b10incw,(Derived in CAPI) Weekly take home income
bd10hnvq,(Derived) Highest NVQ Level from an Academic or Vocational Qual  up to 2016
bd10ecact,(Derived) Current economic activity status
bd10tenure,(Derived) Housing Tenure
bd10hsize,(Derived) HH Size
bd10partp,(Derived) Whether CM lives with a spouse or partner
bd10cnssec,(Derived) NS-SEC Full Operational Categories (CM current job)
bd10cnsscc,(Derived) NS-SEC Combined Operational Categories (CM current job)
